id,title,genre,language,release_date,budget,revenue,rating,vote_count
246,Zatoichi,Adventure,ja,2003-09-06,2500000,34196922,7.253,733
504,Monster,Crime,en,2003-12-24,8000000,60378584,7.251,2012
1278,The Dreamers,Drama,en,2003-09-01,15000000,15121165,7.229,2535
2055,Open Range,Western,en,2003-08-29,22000000,68296293,7.205,900
55931,The Animatrix,Animation,en,2003-05-09,5000000,0,7.184,1353
2832,Identity,Mystery,en,2003-04-25,28000000,90259536,7.18,3329
13156,Secondhand Lions,Family,en,2003-09-19,0,0,7.179,671
10601,Peter Pan,Adventure,en,2003-12-18,100000000,121975011,7.178,2373
11093,House of Sand and Fog,Drama,en,2003-12-19,16500000,16942795,7.173,637
13920,Radio,Drama,en,2003-10-24,35000000,53293628,7.2,594
25300,I'm Not Scared,Mystery,it,2003-02-08,0,0,7.116,889
8619,Master and Commander: The Far Side of the World,Adventure,en,2003-11-14,150000000,212011111,7.109,2697
4552,A Tale of Two Sisters,Drama,ko,2003-06-13,15050245,1062878,7.104,978
508,Love Actually,Comedy,en,2003-09-07,40000000,244931766,7.103,5887
1807,Elephant,Crime,en,2003-09-20,3000000,10012022,7.097,1631
9316,Ong Bak: Muay Thai Warrior,Action,th,2003-01-21,1100000,20112926,7.087,1470
1584,School of Rock,Comedy,en,2003-10-03,35000000,131095990,7.061,4985
604,The Matrix Reloaded,Adventure,en,2003-05-15,150000000,738599701,7.034,9754
36658,X2,Adventure,en,2003-04-27,110000000,407711549,7.021,9129
883,Coffee and Cigarettes,Comedy,en,2003-09-05,0,7897645,7.006,787
4464,Seabiscuit,Drama,en,2003-07-22,87000000,148336445,7.0,717
7270,Matchstick Men,Comedy,en,2003-09-12,62000000,65565672,6.989,1480
15016,Barbie of Swan Lake,Animation,en,2003-09-27,0,0,6.988,979
2289,Cold Mountain,Drama,en,2003-12-24,79000000,173013509,6.9,1545
11820,Mona Lisa Smile,Drama,en,2003-12-19,65000000,0,6.917,1499
11329,Runaway Jury,Drama,en,2003-01-16,60000000,80154140,6.916,1072
14411,Sinbad: Legend of the Seven Seas,Family,en,2003-07-02,60000000,80767884,6.912,1782
10934,Under the Tuscan Sun,Romance,en,2003-09-20,18000000,58878723,6.845,736
1817,Phone Booth,Thriller,en,2003-04-04,13000000,97837138,6.836,3250
8326,Holes,Adventure,en,2003-04-18,20000000,71406573,6.829,1179
9567,Tears of the Sun,War,en,2003-03-07,75000000,86468162,6.81,1954
9282,11:14,Crime,en,2003-09-05,6000000,0,6.802,710
277,Underworld,Fantasy,en,2003-09-19,22000000,95708457,6.798,5531
9654,The Italian Job,Action,en,2003-05-30,60000000,176070171,6.757,4923
10226,High Tension,Horror,fr,2003-06-18,0,6291958,6.756,1101
9919,How to Lose a Guy in 10 Days,Comedy,en,2003-02-07,50000000,177502387,6.743,3340
7229,Ruby & Quentin,Comedy,fr,2003-10-22,27440000,0,6.709,702
605,The Matrix Revolutions,Adventure,en,2003-11-05,150000000,424988211,6.704,8772
310,Bruce Almighty,Fantasy,en,2003-05-23,80000000,484592874,6.7,9721
10719,Elf,Comedy,en,2003-10-09,32000000,225097437,6.65,3487
6964,Something's Gotta Give,Drama,en,2003-12-12,80000000,266728738,6.625,1389
3635,Girl with a Pearl Earring,Drama,en,2003-12-12,0,31466789,6.606,1217
14926,Uptown Girls,Family,en,2003-08-15,20000000,44617342,6.594,693
8961,Bad Boys II,Adventure,en,2003-07-18,130000000,273339556,6.592,4772
11023,Thirteen,Drama,en,2003-08-20,2000000,0,6.582,1393
11635,Old School,Comedy,en,2003-02-21,24000000,87135520,6.576,1550
10147,Bad Santa,Drama,en,2003-11-26,23000000,76490720,6.527,1845
302,Swimming Pool,Crime,en,2003-05-21,7800000,22441323,6.524,592
10782,Basic,Action,en,2003-04-18,50000000,42792561,6.517,893
15567,Stitch! The Movie,Comedy,en,2003-08-26,0,0,6.5,611
10894,May,Comedy,en,2003-06-03,500000,264349,6.478,501
584,2 Fast 2 Furious,Action,en,2003-06-05,76000000,236350661,6.467,6459
10159,The Rundown,Adventure,en,2003-09-26,85000000,80916492,6.4,1741
10330,Freaky Friday,Comedy,en,2003-08-05,26000000,160846332,6.444,3320
10715,Looney Tunes: Back in Action,Animation,en,2003-11-14,80000000,68514844,6.391,1342
9902,Wrong Turn,Horror,en,2003-05-30,12600000,28650575,6.351,2282
8965,Atlantis: Milo's Return,Fantasy,en,2003-02-25,0,0,6.34,3678
1647,The Recruit,Action,en,2003-01-31,46000000,101191884,6.335,1515
18736,The Lizzie McGuire Movie,Family,en,2003-05-02,17000000,55534455,6.323,1154
12146,The Missing,Thriller,en,2003-11-26,60000000,38364277,6.299,530
2116,Out of Time,Thriller,en,2003-10-03,50000000,55495563,6.297,982
10028,Honey,Music,en,2003-11-24,18000000,62646763,6.29,1061
1428,Once Upon a Time in Mexico,Action,en,2003-09-11,29000000,98185582,6.274,1906
11007,Cheaper by the Dozen,Comedy,en,2003-12-24,40000000,190212113,6.275,2525
9486,Johnny English,Adventure,en,2003-03-14,40000000,160583018,6.251,3022
10735,What a Girl Wants,Comedy,en,2003-03-27,20000000,50732139,6.23,1459
9373,The Texas Chainsaw Massacre,Horror,en,2003-05-21,9500000,107363905,6.218,2286
9358,Final Destination 2,Horror,en,2003-01-31,26000000,90941129,6.206,3505
8273,American Wedding,Comedy,en,2003-08-01,55000000,231449203,6.199,3657
2662,House of 1000 Corpses,Horror,en,2003-04-11,7000000,17949758,6.2,1382
10739,Anything Else,Comedy,en,2003-08-27,0,0,6.192,527
10632,The Hunted,Drama,en,2003-03-11,55000000,34234008,6.177,654
9620,Paycheck,Action,en,2003-12-25,60000000,95427515,6.176,1578
9257,S.W.A.T.,Action,en,2003-08-08,80000000,116643346,6.144,2215
296,Terminator 3: Rise of the Machines,Action,en,2003-07-02,200000000,435000000,6.132,5844
6038,Shanghai Knights,Action,en,2003-02-06,50000000,88323487,6.13,1994
9506,Anger Management,Comedy,en,2003-04-11,75000000,195745823,6.121,2738
11351,Jeepers Creepers 2,Horror,en,2003-08-08,17000000,63102666,6.12,1386
7288,Duplex,Comedy,en,2003-09-26,40000000,19322135,6.101,1506
8409,A Man Apart,Action,en,2003-04-04,36000000,44350926,6.091,770
10720,Down with Love,Comedy,en,2003-05-08,35000000,20298207,6.09,625
4970,Gothika,Horror,en,2003-11-21,40000000,141591324,6.077,2006
10623,Cradle 2 the Grave,Action,en,2003-02-28,25000000,56489558,6.064,785
6466,Freddy vs. Jason,Horror,en,2003-08-15,30000000,116643421,6.034,2203
4256,Scary Movie 3,Comedy,en,2003-10-24,48000000,220673217,5.98,3592
10678,Bringing Down the House,Comedy,en,2003-03-07,20000000,132675402,5.972,633
8698,The League of Extraordinary Gentlemen,Fantasy,en,2003-07-11,78000000,179265204,5.953,3601
11078,National Security,Action,en,2003-01-17,0,50097949,5.925,846
11775,Intolerable Cruelty,Crime,en,2003-09-02,60000000,119940815,5.92,1299
10708,Daddy Day Care,Comedy,en,2003-05-09,60000000,164433867,5.904,1900
14873,The Jungle Book 2,Family,en,2003-02-07,20000000,135680000,5.885,1032
9341,The Core,Action,en,2003-03-28,60000000,74208267,5.751,1583
12090,Just Married,Comedy,en,2003-01-08,18000000,101564935,5.746,1199
1996,Lara Croft: Tomb Raider - The Cradle of Life,Action,en,2003-07-21,95000000,160099222,5.746,3852
9562,Timeline,Action,en,2003-11-26,80000000,43935763,5.73,930
2334,Taxi 3,Action,fr,2003-01-29,14500000,65497208,5.714,1326
11547,Cabin Fever,Horror,en,2003-08-15,1500000,30553395,5.654,1117
10756,The Haunted Mansion,Thriller,en,2003-11-25,90000000,182290266,5.623,1756
10327,"Legally Blonde 2: Red, White & Blonde",Comedy,en,2003-07-02,45000000,124914842,5.61,1362
10610,The Medallion,Thriller,en,2003-08-15,41000000,0,5.572,944
6171,Dreamcatcher,Drama,en,2003-03-21,68000000,75700000,5.561,1549
1927,Hulk,Science Fiction,en,2003-06-19,137000000,245360480,5.526,5204
10727,Darkness Falls,Thriller,en,2003-01-24,0,0,5.523,500
83,Open Water,Drama,en,2003-10-26,130000,54667954,5.511,937
11817,Bulletproof Monk,Action,en,2003-03-28,52000000,37713879,5.468,792
9471,Charlie's Angels: Full Throttle,Action,en,2003-06-27,120000000,259175788,5.448,2731
10923,Agent Cody Banks,Action,en,2003-03-14,28000000,58795814,5.447,970
10588,The Cat in the Hat,Comedy,en,2003-11-21,109000000,133800000,5.34,1443
