id,name,gender,popularity
4464,Gary Ross,2,6.851
7270,Ridley Scott,2,11.461
15016,Owen Hurley,2,2.041
2289,Anthony Minghella,2,2.907
11820,Mike Newell,2,5.707
11329,Gary Fleder,2,4.106
14411,Patrick Gilmore,0,0.69
10934,Audrey Wells,1,2.324
1817,Joel Schumacher,2,5.531
8326,Andrew Davis,2,2.525
9567,Antoine Fuqua,2,6.43
9282,Greg Marcks,2,0.6
277,Len Wiseman,2,5.726
9654,F. Gary Gray,2,2.652
10226,Alexandre Aja,2,2.794
9919,Donald Petrie,2,2.834
7229,Francis Veber,2,3.2
605,Lana Wachowski,1,17.593
310,Tom Shadyac,2,4.518
10719,Jon Favreau,2,32.622
6964,Nancy Meyers,1,2.604
3635,Peter Webber,2,1.78
14926,Boaz Yakin,2,5.339
8961,Michael Bay,2,16.514
11023,Catherine Hardwicke,1,5.381
11635,Todd Phillips,2,10.189
10147,Terry Zwigoff,2,1.198
302,François Ozon,2,2.333
10782,John McTiernan,2,5.917
15567,Roberts Gannaway,2,3.081
10894,Lucky McKee,2,1.302
584,John Singleton,2,7.787
10159,Peter Berg,2,8.031
10330,Mark Waters,2,2.065
10715,Joe Dante,2,7.028
9902,Rob Schmidt,2,2.226
8965,Toby Shelton,2,1.4
1647,Roger Donaldson,2,4.474
18736,Jim Fall,2,1.96
12146,Ron Howard,2,19.622
2116,Carl Franklin,2,1.97
10028,Bille Woodruff,2,0.824
1428,Robert Rodriguez,2,9.698
11007,Shawn Levy,2,13.578
9486,Peter Howitt,2,2.61
10735,Dennie Gordon,1,1.352
9373,Marcus Nispel,2,2.395
9358,David R. Ellis,2,1.887
8273,Jesse Dylan,2,1.478
2662,Rob Zombie,2,8.758
10739,Woody Allen,2,14.092
10632,William Friedkin,2,3.484
9620,John Woo,2,8.8
9257,Clark Johnson,2,1.904
296,Jonathan Mostow,2,6.933
6038,David Dobkin,2,2.563
9506,Peter Segal,2,8.37
11351,Victor Salva,2,2.715
7288,Danny DeVito,2,28.137
8409,F. Gary Gray,2,2.652
10720,Peyton Reed,2,5.248
4970,Mathieu Kassovitz,2,10.914
10623,Andrzej Bartkowiak,2,4.91
6466,Ronny Yu,2,4.48
4256,David Zucker,2,3.24
10678,Adam Shankman,2,2.85
8698,Stephen Norrington,2,3.955
11078,Dennis Dugan,2,3.202
11775,Ethan Coen,2,3.712
10708,Steve Carr,2,1.4
14873,Steve Trenbirth,0,0.766
9341,Jon Amiel,2,3.005
12090,Shawn Levy,2,13.578
1996,Jan de Bont,2,4.274
9562,Richard Donner,2,6.624
2334,Gérard Krawczyk,2,1.619
11547,Eli Roth,2,11.351
10756,Rob Minkoff,2,3.022
10327,Charles Herman-Wurmfeld,2,0.84
10610,Gordon Chan,2,2.288
6171,Lawrence Kasdan,2,3.923
1927,Ang Lee,2,6.257
10727,Jonathan Liebesman,2,2.824
83,Chris Kentis,2,0.84
11817,Paul Hunter,2,1.018
9471,McG,2,4.175
10923,Harald Zwart,2,1.965
10588,Bo Welch,2,8.65
1792,Peter Farrelly,2,5.409
11375,Ron Shelton,2,2.357
9480,Mark Steven Johnson,2,1.783
10628,David McNally,2,1.4
12279,Robert Rodriguez,2,9.698
2830,David Zucker,2,3.24
10152,Troy Miller,2,0.84
17473,Tommy Wiseau,2,2.14
4935,Hayao Miyazaki,2,12.71
38,Michel Gondry,2,4.751
673,Alfonso Cuarón,2,8.291
11658,Kang Je-kyu,2,3.245
70,Clint Eastwood,2,35.481
11036,Nick Cassavetes,2,11.797
393,Quentin Tarantino,2,14.692
613,Oliver Hirschbiegel,2,3.924
80,Richard Linklater,2,5.608
1280,Kim Ki-duk,2,5.294
5528,Christophe Barratier,2,2.234
205,Terry George,2,1.826
9806,Brad Bird,2,11.016
1913,Alejandro Amenábar,2,3.565
24653,Paolo Sorrentino,2,3.863
1954,J. Mackye Gruber,2,1.808
747,Edgar Wright,2,10.244
4553,Brad Anderson,2,4.879
15165,William Lau,2,2.908
1677,Taylor Hackford,2,8.579
615,Mel Gibson,2,35.641
9509,Tony Scott,2,13.666
1653,Walter Salles,2,1.358
9470,Stephen Chow,2,21.735
176,James Wan,2,14.597
140,Pedro Almodóvar,2,4.119
2841,Jean-Pierre Jeunet,2,6.395
594,Steven Spielberg,2,31.059
866,Marc Forster,2,6.667
2502,Paul Greengrass,2,6.258
9550,Zhang Yimou,2,3.187
